"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Flora","Angiospermas","Celastraceae","Salacia mosenii","-","agropecuaria"
"Flora","Angiospermas","Celastraceae","Salacia mosenii","-","expansão urbana"
"Flora","Angiospermas","Celastraceae","Salacia mosenii","-","poluiçao"
"Flora","Angiospermas","Celastraceae","Salacia mosenii","-","Turismo desordenado"
"Fauna","Invertebrados Terrestres","Chelodesmidae","Sandalodesmus stramineus","Piolho-de-cobra","expansão urbana"
"Fauna","Invertebrados Terrestres","Chelodesmidae","Sandalodesmus stramineus","Piolho-de-cobra","mineraçao"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","agropecuaria"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","expansão urbana"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","assentamento humano:rurais"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","caça/pesca/captura"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","mudanca na dinamica das especies nativas:patogenias/parasitas"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","Produção de energia"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","transportes (terrestre/aereo/aquatico)"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","poluiçao"
"Fauna","Mamíferos","Cebidae","Sapajus cay","Macaco-prego","queimadas"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","agropecuaria"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","expansão urbana"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","assentamento humano:rurais"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","caça/pesca/captura"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","transportes (terrestre/aereo/aquatico)"
"Fauna","Mamíferos","Cebidae","Sapajus flavius","Macaco-prego-galego","queimadas"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","agropecuaria"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","expansão urbana"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","caça/pesca/captura"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","Produção de energia"
"Fauna","Mamíferos","Cebidae","Sapajus robustus","Macaco-prego-de crista","transportes (terrestre/aereo/aquatico)"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","agropecuaria"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","assentamento humano:rurais"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","caça/pesca/captura"
"Fauna","Mamíferos","Cebidae","Sapajus xanthosternos","Macaco-prego-do-peito-amarelo","queimadas"
"Flora","Angiospermas","Marantaceae","Saranthe composita","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Sapotaceae","Sarcaulus vestitus","-","extraçao de madeira"
"Flora","Angiospermas","Orchidaceae","Sarcoglottis alexandri","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Peixes Continentais","Anostomidae","Sartor tucuruiense","Aracu-boca-pra-cima","Produção de energia"
"Flora","Angiospermas","Orchidaceae","Saundersia mirabilis","-","vazio"
"Flora","Angiospermas","Orchidaceae","Saundersia paniculata","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Ochnaceae","Sauvagesia nitida","-","queimadas"
"Fauna","Invertebrados Terrestres","Nymphalidae","Scada karschina delicata","Borboleta","agropecuaria"
"Fauna","Invertebrados Terrestres","Nymphalidae","Scada karschina delicata","Borboleta","expansão urbana"
"Fauna","Invertebrados Terrestres","Nymphalidae","Scada karschina delicata","Borboleta","poluiçao"
"Fauna","Peixes Marinhos","Labridae","Scarus trispinosus","Peixe-papagaio-azul","caça/pesca/captura"
"Fauna","Peixes Marinhos","Labridae","Scarus zelindae","Peixe-papagaio-banana","caça/pesca/captura"
"Fauna","Peixes Marinhos","Labridae","Scarus zelindae","Peixe-papagaio-banana","Turismo desordenado"
"Flora","Angiospermas","Araliaceae","Schefflera aurata","-","expansão urbana"
"Flora","Angiospermas","Araliaceae","Schefflera gardneri","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Araliaceae","Schefflera glaziovii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Araliaceae","Schefflera sprucei","-","extraçao de madeira"
"Flora","Angiospermas","Araliaceae","Schefflera sprucei","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Araliaceae","Schefflera sprucei","-","agropecuaria"
"Flora","Angiospermas","Araliaceae","Schefflera sprucei","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Araliaceae","Schefflera succinea","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Aves","Tityridae","Schiffornis turdina intermedia","Flautim-marrom","agropecuaria"
