"Grupao","Grupo","Familia","Especie","NomeComum","PrincipaisAmeacas"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","agropecuaria"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","expansão urbana"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","caça/pesca/captura"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","extracao florestal"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","expansão urbana"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","extraçao de madeira"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","agropecuaria"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","mineraçao"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","desenvolvimento e infraestrutura"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","agropecuaria"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","expansão urbana"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","poluiçao"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","agropecuaria"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","expansão urbana"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","mudanças na dinamica das especies nativas"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","Turismo desordenado"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","queimadas"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","expansão urbana"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","desenvolvimento e infraestrutura"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","caça/pesca/captura"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","Produção de energia"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","poluiçao"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","assoreamento"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","agropecuaria"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","Turismo desordenado"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","queimadas"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","queimadas"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","extraçao de madeira"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","expansão urbana"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","vazio"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","queimadas"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","agropecuaria"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","agropecuaria"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","queimadas"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","agropecuaria"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","agropecuaria"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","perda de habitat/degradaçao (induzida por humanos)"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","agropecuaria"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","expansão urbana"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","poluiçao"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","vazio"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","agropecuaria"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","agropecuaria"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","expansão urbana"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","extraçao para combustivel"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","agropecuaria"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","queimadas"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","queimadas"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","agropecuaria"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","agropecuaria"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","plantaçao de madereiras"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","plantaçao de madereiras"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","agropecuaria"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","agropecuaria"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","plantaçao de madereiras"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","Turismo desordenado"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","agropecuaria"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","plantaçao de madereiras"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","agropecuaria"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","queimadas"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","fatores intrinsecos"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","coleta"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","agropecuaria"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","especies invasoras"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","coleta"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","distribuiçao restrita"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","agropecuaria"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","distribuiçao restrita"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","distribuiçao restrita"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","especies invasoras"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","extraçao de nao madereiras"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","baixa densidade"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","distribuiçao restrita"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","extraçao de nao madereiras"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","extraçao de nao madereiras"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","expansão urbana"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","industrias"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","transportes (terrestre/aereo/aquatico)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","transportes (terrestre/aereo/aquatico)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","transportes (terrestre/aereo/aquatico)"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","queimadas"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","especies exoticas"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","mineraçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","Turismo desordenado"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","especies exoticas"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","mineraçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","assoreamento"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","Turismo desordenado"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","expansão urbana"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","poluiçao"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","Produção de energia"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","assentamento humano:rurais"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","agropecuaria"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","especies exoticas"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","poluiçao"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","agropecuaria"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","Turismo desordenado"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","poluiçao"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","distribuiçao restrita"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","queimadas"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","Turismo desordenado"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","extraçao para combustivel"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","mineraçao"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","Turismo desordenado"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","expansão urbana"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","extraçao para combustivel"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","mineraçao"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","expansão urbana"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","Turismo desordenado"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","desastres naturais"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","queimadas"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","mineraçao"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","Turismo desordenado"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","expansão urbana"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","extraçao para combustivel"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","mineraçao"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","Turismo desordenado"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","agropecuaria"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","expansão urbana"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","agropecuaria"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","queimadas"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","especies invasoras"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","agropecuaria"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","poluiçao"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","agropecuaria"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","especies invasoras"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","queimadas"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","Produção de energia"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","agropecuaria"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","extraçao de madeira"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","expansão urbana"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","agropecuaria"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","mudanca na dinamica das especies nativas:patogenias/parasitas"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","queimadas"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","vazio"
"Flora","Angiospermas","Orchidaceae","Alatiglossum croesus","-","agropecuaria"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","poluiçao"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","extraçao de nao madereiras"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","extraçao de nao madereiras"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","queimadas"
"Flora","Angiospermas","Bromeliaceae","Alcantarea farneyi","-","Turismo desordenado"
"Flora","Angiospermas","Bromeliaceae","Alcantarea geniculata","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","Turismo desordenado"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","expansão urbana"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","queimadas"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","Turismo desordenado"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","coleta"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","queimadas"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","extraçao de nao madereiras"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","queimadas"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nevaresii","-","vazio"
"Flora","Angiospermas","Bromeliaceae","Alcantarea vinicolor","-","extraçao de nao madereiras"
"Flora","Angiospermas","Asteraceae","Aldama corumbensis","-","vazio"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","vazio"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","vazio"
"Flora","Angiospermas","Asteraceae","Aldama linearifolia","-","vazio"
"Flora","Angiospermas","Asteraceae","Aldama paranensis","-","vazio"
"Flora","Angiospermas","Asteraceae","Aldama vernonioides","-","vazio"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","agropecuaria"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","mineraçao"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","queimadas"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","agropecuaria"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","agropecuaria"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","expansão urbana"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","extracao florestal"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","poluiçao"
"Flora","Angiospermas","Euphorbiaceae","Algernonia dimitrii","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Euphorbiaceae","Algernonia kuhlmannii","sabiá; pau de leite","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","expansão urbana"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","Turismo desordenado"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","agropecuaria"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","Produção de energia"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","agropecuaria"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","mineraçao"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","Produção de energia"
"Fauna","Anfíbios","Aromobatidae","Allobates olfersioides","Desconhecido","expansão urbana"
"Flora","Angiospermas","Rutaceae","Almeidea coerulea","-","desenvolvimento e infraestrutura"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","caça/pesca/captura"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","agropecuaria"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","expansão urbana"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","assentamento humano:rurais"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","Produção de energia"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","agropecuaria"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","assentamento humano:rurais"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","Produção de energia"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","transportes (terrestre/aereo/aquatico)"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","agropecuaria"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","expansão urbana"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","mudanca na dinamica das especies nativas:patogenias/parasitas"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","agropecuaria"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","assentamento humano:rurais"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","agropecuaria"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","assentamento humano:rurais"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","caça/pesca/captura"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","extracao florestal"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","Produção de energia"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","expansão urbana"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","especies invasoras"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","Produção de energia"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","Turismo desordenado"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","especies invasoras"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","agropecuaria"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","mineraçao"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","queimadas"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","agropecuaria"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","especies invasoras"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","desenvolvimento e infraestrutura"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","agropecuaria"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","extraçao de madeira"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","queimadas"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","agropecuaria"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","queimadas"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","agropecuaria"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","Turismo desordenado"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","extraçao de nao madereiras"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","perda de habitat/degradaçao (induzida por humanos)"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","extraçao para combustivel"
