"Grupao","Grupo","Familia","Especie","NomeComum","AreasProtegidas","PAN","OrdenamentoPesqueiro","ProtecaoNacional","ExclusivaBrasil"
"Fauna","Invertebrados Terrestres","Nymphalidae","Dasyophthalma vertebralis","Borboleta","Não","Sim","Não","1","Sim"
"Flora","Angiospermas","Dilleniaceae","Davilla glaziovii","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Dilleniaceae","Davilla macrocarpa","-","Sim","Não","Não","2","Sim"
"Fauna","Peixes Continentais","Loricariidae","Delturus parahybae","Cascudo","Não","Sim","Não","1","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrexetastes rufigula paraensis","Arapaçu-canela-de-belém","Não","Não","Não","0","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrocincla merula badia","Arapaçu-da-taoca","Sim","Não","Não","2","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrocincla taunayi","Arapaçu-pardo-do-nordeste","Sim","Não","Não","1","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrocolaptes medius","Arapaçu-barrado-do-leste","Sim","Não","Não","2","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrocolaptes picumnus transfasciatus","Arapaçu-meio-barrado","Sim","Não","Não","3","Sim"
"Fauna","Aves","Dendrocolaptidae","Dendrocolaptes retentus","Arapaçu-barrado-do-xingu","Sim","Não","Não","3","Sim"
"Flora","Angiospermas","Asteraceae","Dendrophorbium catharinense","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Asteraceae","Dendrophorbium paranense","-","Sim","Não","Não","2","Sim"
"Fauna","Répteis","Dermochelydae","Dermochelys coriacea","Tartaruga-de-couro","Sim","Sim","Sim","4","Não"
"Flora","Angiospermas","Poaceae","Deschampsia caespitosa","-","Sim","Não","Não","2","Não"
"Flora","Angiospermas","Fabaceae","Desmodium craspediferum","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Bromeliaceae","Deuterocohnia meziana","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Poaceae","Diandrolyra tatianae","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Formicidae","Diaphoromyrma sofiae","Formiga","Sim","Não","Não","1","Sim"
"Fauna","Peixes Continentais","Characidae","Diapoma pyrrhopteryx","Lambari","Não","Sim","Não","1","Sim"
"Flora","Angiospermas","Orchidaceae","Dichaea mosenii","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Commelinaceae","Dichorisandra acaulis","-","Sim","Não","Não","2","Sim"
"Flora","Angiospermas","Commelinaceae","Dichorisandra glaziovii","-","Sim","Sim","Não","2","Sim"
"Flora","Angiospermas","Commelinaceae","Dichorisandra leucophthalmos","-","Sim","Não","Não","2","Informação não disponível"
"Flora","Angiospermas","Commelinaceae","Dichorisandra neglecta","-","Sim","Não","Não","2","Sim"
"Fauna","Invertebrados Terrestres","Scarabaeidae","Dichotomius eucranioides","Besouro rola-bosta","Não","Não","Não","0","Sim"
