"Grupao","Grupo","Familia","Especie","NomeComum","Bioma"
"Flora","Angiospermas","Araliaceae","Schefflera succinea","-","Mata Atlântica"
"Fauna","Aves","Tityridae","Schiffornis turdina intermedia","Flautim-marrom","Mata Atlântica"
"Flora","Angiospermas","Anacardiaceae","Schinopsis balansae","-","Cerrado"
"Flora","Angiospermas","Poaceae","Schizachyrium scabriflorum","-","Cerrado"
"Flora","Angiospermas","Poaceae","Schizachyrium scabriflorum","-","Pampa"
"Fauna","Invertebrados Terrestres","Carabidae","Schizogenius ocellatus","Besouro","Mata Atlântica"
"Flora","Angiospermas","Asteraceae","Schlechtendalia luzulifolia","-","Pampa"
"Flora","Angiospermas","Cactaceae","Schlumbergera kautskyi","-","Mata Atlântica"
"Flora","Angiospermas","Cactaceae","Schlumbergera microsphaerica","-","Mata Atlântica"
"Flora","Angiospermas","Cactaceae","Schlumbergera opuntioides","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Schwenckia curviflora","-","Cerrado"
"Flora","Angiospermas","Solanaceae","Schwenckia curviflora","-","Mata Atlântica"
"Flora","Angiospermas","Solanaceae","Schwenckia nova-veneciana","-","Mata Atlântica"
"Fauna","Peixes Marinhos","Ariidae","Sciades parkeri","Gurijuba","Marinho"
"Fauna","Anfíbios","Hylidae","Scinax alcatraz","Perereca-de-Alcatraz","Mata Atlântica"
"Fauna","Anfíbios","Hylidae","Scinax duartei","Desconhecido","Mata Atlântica"
"Fauna","Anfíbios","Hylidae","Scinax faivovichi","Desconhecido","Mata Atlântica"
"Fauna","Anfíbios","Hylidae","Scinax peixotoi","Desconhecido","Mata Atlântica"
"Flora","Angiospermas","Cyperaceae","Scleria balansae","-","Mata Atlântica"
"Flora","Angiospermas","Cyperaceae","Scleria balansae","-","Pampa"
"Fauna","Peixes Continentais","Callichthyidae","Scleromystax macropterus","Limpa-fundo","Mata Atlântica"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus caligineus","Vira-folha-pardo","Mata Atlântica"
"Fauna","Aves","Scleruridae","Sclerurus caudacutus umbretta","Vira-folha-pardo","Mata Atlântica"
