"Grupao","Grupo","Familia","Especie","NomeComum","CategoriaAmeaca"
"Flora","Angiospermas","Orchidaceae","Dryadella susanae","-","Criticamente em Perigo (CR)"
"Fauna","Invertebrados Terrestres","Drymusidae","Drymusa spelunca","Falsa-aranha-violino","Criticamente em Perigo (CR)"
"Fauna","Aves","Picidae","Dryocopus galeatus","Pica-pau-de-cara-canela","Em Perigo (EN)"
"Flora","Angiospermas","Annonaceae","Duguetia magnolioidea","-","Em Perigo (EN)"
"Flora","Angiospermas","Annonaceae","Duguetia restingae","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Annonaceae","Duguetia reticulata","-","Em Perigo (EN)"
"Flora","Angiospermas","Annonaceae","Duguetia scottmorii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Annonaceae","Duguetia sooretamae","Pindaíba coroa","Em Perigo (EN)"
"Flora","Angiospermas","Orchidaceae","Dungsia harpophylla","-","Vulnerável (VU)"
"Flora","Angiospermas","Orchidaceae","Dungsia kautskyi","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia agudensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia cabrerae","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia delicata","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia distachya","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia domfelicianensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia fosteriana","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia hatschbachii","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia ibicuiensis","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia ibiramensis","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia maritima","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia monticola","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia pseudococcinea","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Bromeliaceae","Dyckia rariflora","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia reitzii","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia remotiflora","-","Em Perigo (EN)"
"Flora","Angiospermas","Bromeliaceae","Dyckia ursina","-","Criticamente em Perigo (CR)"
"Flora","Angiospermas","Acanthaceae","Dyschoriste lavandulacea","-","Em Perigo (EN)"
"Flora","Angiospermas","Acanthaceae","Dyschoriste smithii","-","Criticamente em Perigo (CR)"
"Fauna","Aves","Thamnophilidae","Dysithamnus plumbeus","Choquinha-chumbo","Em Perigo (EN)"
