"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Flora","Angiospermas","Bromeliaceae","Lymania azurea","-","BA"
"Flora","Angiospermas","Bromeliaceae","Lymania brachycaulis","-","BA"
"Flora","Angiospermas","Bromeliaceae","Lymania corallina","-","BA"
"Flora","Angiospermas","Bromeliaceae","Lymania globosa","-","BA"
"Flora","Angiospermas","Bromeliaceae","Lymania spiculata","-","BA"
"Fauna","Invertebrados Aquáticos","Lymnaeidae","Lymnaea rupestris","Caramujo-de-água-doce","SC"
"Flora","Angiospermas","Primulaceae","Lysimachia barbata","-","SP"
"Flora","Angiospermas","Primulaceae","Lysimachia buxifolia","-","MG"
"Flora","Angiospermas","Primulaceae","Lysimachia buxifolia","-","SP"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","AL"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","BA"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","CE"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","ES"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","PB"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","PE"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","PR"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","RJ"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","RN"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","RS"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","SC"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","SE"
"Fauna","Invertebrados Aquáticos","Toxopneustidae","Lytechinus variegatus","Ouriço-lilás","SP"
"Flora","Angiospermas","Arecaceae","Lytocaryum insigne","icá-grande","ES"
"Flora","Angiospermas","Arecaceae","Lytocaryum insigne","icá-grande","RJ"
"Flora","Angiospermas","Fabaceae","Machaerium obovatum","-","RJ"
"Flora","Angiospermas","Moraceae","Maclura brasiliensis","-","RJ"
"Flora","Angiospermas","Apocynaceae","Macroditassa marianae","-","SP"
"Fauna","Invertebrados Terrestres","Odontostomidae","Macrodontes dautzenbergianus","Desconhecido","PR"
"Fauna","Invertebrados Terrestres","Odontostomidae","Macrodontes dautzenbergianus","Desconhecido","SP"
"Flora","Angiospermas","Monimiaceae","Macropeplus friburgensis","-","RJ"
"Flora","Angiospermas","Fabaceae","Macrosamanea prancei","-","AM"
"Flora","Angiospermas","Fabaceae","Macrosamanea prancei","-","RR"
