"Grupao","Grupo","Familia","Especie","NomeComum","EstadosOcorrencia"
"Flora","Angiospermas","Salicaceae","Abatia angeliana","-","PR"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","BA"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","ES"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","MG"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","PR"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","RJ"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","RS"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","SC"
"Fauna","Aves","Cracidae","Aburria jacutinga","Jacutinga","SP"
"Flora","Angiospermas","Malvaceae","Abutilon anodoides","-","RJ"
"Flora","Angiospermas","Malvaceae","Abutilon nigricans","-","SP"
"Flora","Angiospermas","Santalaceae","Acanthosyris paulo-alvinii","-","BA"
"Flora","Angiospermas","Myrtaceae","Accara elegans","-","MG"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","BA"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis cornicauda","Libélula","ES"
"Fauna","Invertebrados Terrestres","Coenagrionidae","Aceratobasis mourei","Libélula","ES"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","PR"
"Fauna","Invertebrados Terrestres","Hypogastruridae","Acherontides eleonorae","Colêmbolo","SP"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","ES"
"Flora","Angiospermas","Plantaginaceae","Achetaria caparaoense","-","MG"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","ES"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","MG"
"Flora","Angiospermas","Plantaginaceae","Achetaria latifolia","-","RJ"
"Fauna","Peixes Marinhos","Achiridae","Achirus mucuri","Solha","BA"
"Flora","Angiospermas","Orchidaceae","Acianthera adiri","-","PR"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","ES"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","MG"
"Flora","Angiospermas","Orchidaceae","Acianthera heringeri","-","RJ"
"Flora","Angiospermas","Orchidaceae","Acianthera langeana","-","PR"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","BA"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","CE"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","PE"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","ES"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","MG"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","SP"
"Flora","Angiospermas","Orchidaceae","Acianthera papillosa","-","RS"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","PR"
"Flora","Angiospermas","Asteraceae","Acmella pusilla","-","RS"
"Flora","Angiospermas","Asteraceae","Acritopappus catolesensis","-","BA"
"Flora","Angiospermas","Asteraceae","Acritopappus connatifolius","-","BA"
"Flora","Angiospermas","Asteraceae","Acritopappus irwinii","-","MG"
"Flora","Angiospermas","Asteraceae","Acritopappus pintoi","-","BA"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","BA"
"Fauna","Aves","Furnariidae","Acrobatornis fonsecai","Acrobata","MG"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","GO"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","MS"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","MG"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","SP"
"Flora","Angiospermas","Arecaceae","Acrocomia emensis","-","PR"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus cipoensis","-","MG"
"Flora","Angiospermas","Eriocaulaceae","Actinocephalus claussenianus","-","MG"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote quadra","Borboleta-palha","RJ"
"Fauna","Invertebrados Terrestres","Nymphalidae","Actinote zikani","Borboleta","SP"
"Flora","Angiospermas","Orchidaceae","Adamantinia miltonioides","-","BA"
"Fauna","Invertebrados Terrestres","Baetidae","Adebrotus lugoi","Siriruia","ES"
"Fauna","Anfíbios","Eleutherodactylidae","Adelophryne maranguapensis","Desconhecido","CE"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","PI"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","CE"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","MG"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma dichilum","-","BA"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma fruticosum","-","BA"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma magnoalatum","-","MG"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","RJ"
"Flora","Angiospermas","Bignoniaceae","Adenocalymma ubatubense","-","SP"
"Flora","Angiospermas","Euphorbiaceae","Adenophaedra cearensis","-","CE"
"Flora","Pteridófitas","Pteridaceae","Adiantum diphyllum","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum discolor","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","MG"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","RJ"
"Flora","Pteridófitas","Pteridaceae","Adiantum mynsseniae","-","SP"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","PR"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","RJ"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","ES"
"Flora","Pteridófitas","Pteridaceae","Adiantum papillosum","-","MG"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","BA"
"Flora","Pteridófitas","Pteridaceae","Adiantum tetragonum","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea alopecurus","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea amicorum","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SP"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","PR"
"Flora","Angiospermas","Bromeliaceae","Aechmea apocalyptica","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea azurea","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea bambusoides","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea cariocae","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea castanea","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea depressa","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea echinata","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea fosteriana","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","BA"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea gustavoi","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea kertesziae","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","SC"
"Flora","Angiospermas","Bromeliaceae","Aechmea kleinii","-","RS"
"Flora","Angiospermas","Bromeliaceae","Aechmea macrochlamys","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea marginalis","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea muricata","-","RN"
"Flora","Angiospermas","Bromeliaceae","Aechmea mutica","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea orlandiana","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea sphaerocephala","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","ES"
"Flora","Angiospermas","Bromeliaceae","Aechmea triangularis","-","PR"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","MG"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Aechmea vanhoutteana","-","SP"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","PE"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","AL"
"Flora","Angiospermas","Bromeliaceae","Aechmea werdermannii","-","RN"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","RS"
"Flora","Angiospermas","Bromeliaceae","Aechmea winkleri","-","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla brevipalma","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla camargoi","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla cavernicola","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","MG"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla franca","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla grisella","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inconspicua","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla inermis","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla itacolomiensis","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla lata","Egla","PR"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leachi","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptochela","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla leptodactyla","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla ligulata","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla manuinflata","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla microphthalma","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla oblata","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla obstipa","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla perobae","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla plana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla pomerana","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla renana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla rossiana","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinipalma","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","RS"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla spinosa","Egla","SC"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","PR"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla strinatii","Egla","SP"
"Fauna","Invertebrados Aquáticos","Aeglidae","Aegla violacea","Egla","RS"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","RS"
"Flora","Angiospermas","Fabaceae","Aeschynomene fructipendula","-","SC"
"Flora","Angiospermas","Fabaceae","Aeschynomene laca-buendiana","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","ES"
"Flora","Angiospermas","Orobanchaceae","Agalinis bandeirensis","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis brachyphylla","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis itambensis","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis nana","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","MG"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","SP"
"Flora","Angiospermas","Orobanchaceae","Agalinis ramulifera","-","PR"
"Flora","Angiospermas","Orobanchaceae","Agalinis schwackeana","-","MG"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","AL"
"Fauna","Anfíbios","Hylidae","Agalychnis granulosa","Desconhecido","PE"
"Flora","Angiospermas","Asteraceae","Agrianthus almasensis","-","BA"
"Flora","Angiospermas","Asteraceae","Agrianthus giuliettiae","-","BA"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","MG"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","RJ"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","SP"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","PR"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","SC"
"Flora","Angiospermas","Poaceae","Agrostis lenis","-","RS"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","MG"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","RJ"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","SP"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","PR"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","SC"
"Flora","Angiospermas","Poaceae","Agrostis longiberbis","-","RS"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","MT"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","PA"
"Fauna","Peixes Continentais","Pimelodidae","Aguarunichthys tocantinsensis","Bagre","TO"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","AC"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","AM"
"Flora","Angiospermas","Lauraceae","Aiouea benthamiana","louro rosa","AP"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","SP"
"Flora","Angiospermas","Lauraceae","Aiouea bracteata","-","MG"
"Flora","Angiospermas","Lauraceae","Aiouea lehmannii","-","AC"
"Fauna","Mamíferos","Cricetidae","Akodon mystax","Rato-do-chão","ES"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","AM"
"Flora","Pteridófitas","Polypodiaceae","Alansmia senilis","-","SP"
"Flora","Angiospermas","Orchidaceae","Alatiglossum croesus","-","RJ"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","PR"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","SC"
"Flora","Angiospermas","Fabaceae","Albizia burkartiana","Angico-branco","RS"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","AM"
"Flora","Angiospermas","Fabaceae","Albizia glabripetala","-","RO"
"Flora","Angiospermas","Bromeliaceae","Alcantarea benzingii","-","ES"
"Flora","Angiospermas","Bromeliaceae","Alcantarea duarteana","-","MG"
"Flora","Angiospermas","Bromeliaceae","Alcantarea farneyi","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Alcantarea geniculata","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Alcantarea glaziouana","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","MG"
"Flora","Angiospermas","Bromeliaceae","Alcantarea imperialis","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nahoumii","-","BA"
"Flora","Angiospermas","Bromeliaceae","Alcantarea nevaresii","-","RJ"
"Flora","Angiospermas","Bromeliaceae","Alcantarea vinicolor","-","ES"
"Flora","Angiospermas","Asteraceae","Aldama corumbensis","-","MS"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","BA"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","GO"
"Flora","Angiospermas","Asteraceae","Aldama filifolia","-","MG"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","GO"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","MG"
"Flora","Angiospermas","Asteraceae","Aldama goyazii","-","SP"
"Flora","Angiospermas","Asteraceae","Aldama linearifolia","-","MS"
"Flora","Angiospermas","Asteraceae","Aldama paranensis","-","PR"
"Flora","Angiospermas","Asteraceae","Aldama vernonioides","-","MT"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","BA"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","DF"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","GO"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","MG"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","MS"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","MT"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","PR"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","SP"
"Fauna","Aves","Tyrannidae","Alectrurus tricolor","Galito","TO"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","PR"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","RJ"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron prominens","Mariposa","SP"
"Fauna","Invertebrados Terrestres","Sphingidae","Aleuron ypanemae","Mariposa","SP"
"Flora","Angiospermas","Euphorbiaceae","Algernonia dimitrii","-","ES"
"Flora","Angiospermas","Euphorbiaceae","Algernonia kuhlmannii","sabiá; pau de leite","ES"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","BA"
"Flora","Angiospermas","Arecaceae","Allagoptera brevicalyx","Cachandó","SE"
"Fauna","Anfíbios","Aromobatidae","Allobates brunneus","Desconhecido","MT"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","DF"
"Fauna","Anfíbios","Aromobatidae","Allobates goianus","Desconhecido","GO"
"Fauna","Anfíbios","Aromobatidae","Allobates olfersioides","Desconhecido","RJ"
"Flora","Angiospermas","Rutaceae","Almeidea coerulea","-","BA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","AL"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","AP"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","BA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","CE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","ES"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","MA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","PA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","PB"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","PE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","PI"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","PR"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","RJ"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","RN"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","RS"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","SC"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","SE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias superciliosus","Tubarão-raposa","SP"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","AL"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","AP"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","BA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","CE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","ES"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","MA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","PA"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","PB"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","PE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","PI"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","PR"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","RJ"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","RN"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","RS"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","SC"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","SE"
"Fauna","Peixes Marinhos","Alopiidae","Alopias vulpinus","Tubarão-raposa","SP"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","AP"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","MA"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","PA"
"Fauna","Mamíferos","Atelidae","Alouatta belzebul","Guariba-de-mãos-ruivas","TO"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","MT"
"Fauna","Mamíferos","Atelidae","Alouatta discolor","Guariba-de-mãos-ruivas","PA"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","ES"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","MG"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","PR"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","RJ"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","RS"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","SC"
"Fauna","Mamíferos","Atelidae","Alouatta guariba clamitans","Bugio-ruivo","SP"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","BA"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","ES"
"Fauna","Mamíferos","Atelidae","Alouatta guariba guariba","Bugio-marrom","MG"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","CE"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","MA"
"Fauna","Mamíferos","Atelidae","Alouatta ululata","Guariba","PI"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","PR"
"Flora","Angiospermas","Verbenaceae","Aloysia hatschbachii","-","PA"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","BA"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","ES"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","MG"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","RJ"
"Flora","Angiospermas","Rubiaceae","Alseis involuta","-","SP"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","PR"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria amabilis","-","SC"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","MT"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","MG"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria brasiliensis","-","GO"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","ES"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria capixaba","-","MG"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","ES"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","RJ"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","SP"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria caryophyllaea","-","PA"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","PR"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria malmeana","-","SC"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","DF"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria orchidioides","-","GO"
"Flora","Angiospermas","Alstroemeriaceae","Alstroemeria penduliflora","-","MG"
"Flora","Angiospermas","Amaranthaceae","Alternanthera decurrens","-","MG"
"Flora","Angiospermas","Amaranthaceae","Alternanthera decurrens","-","MS"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","PR"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","MS"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","SC"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","RS"
"Flora","Angiospermas","Amaranthaceae","Alternanthera hirtula","-","SP"
"Flora","Angiospermas","Amaranthaceae","Alternanthera januarensis","-","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus campoi","Besouro-tesoura","SP"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus dulceae","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus dulceae","Besouro-tesoura","RJ"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus godinhorum","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus godinhorum","Besouro-tesoura","RJ"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus koikei","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus rotundatus","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus rotundatus","Besouro-tesoura","RJ"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus ruficollis","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus ruficollis","Besouro-tesoura","RJ"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus trifurcatus","Besouro-tesoura","MG"
"Fauna","Invertebrados Terrestres","Lucanidae","Altitatiayus trifurcatus","Besouro-tesoura","RJ"
"Flora","Angiospermas","Poaceae","Altoparadisium chapadense","-","GO"
"Flora","Angiospermas","Poaceae","Altoparadisium chapadense","-","TO"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","BA"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","ES"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","MG"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","PR"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","RJ"
"Fauna","Aves","Accipitridae","Amadonastur lacernulatus","Gavião-pombo-pequeno ","SC"
